Size,Chest,Neck-to-Cuff,Back Waist Length,Cross Back,Sleeve Length,Upper Arm,Armhole depth,Waist,Hips
2,53,45.5,21.5,23.5,21.5,17.5,10.5,53.5,56
4,58.5,49.5,24,25,26.5,19,12,54.5,59.5
6,63.5,52,26.5,26,29,20.5,12.5,57,63.5
8,67,56,31.5,27,31.5,21.5,14,59.5,71
10,71,61,35.5,28.5,34.5,22,15.5,62,75
