Size,Chest,Neck-to-Cuff,Back Waist Length,Cross Back,Sleeve Length,Upper Arm,Armhole depth,Waist,Hips
3 months,40.5,26.5,15.5,18.5,15.5,14,8.5,45.5,48
6 months,43,29,17.5,19.5,16.5,15.5,9,48,50.5
12 months,45.5,31.5,19,21,19,16.5,9.5,50.5,50.5
18 months,48,35.5,20.5,21.5,20.5,17.5,10,52,53.5
24 months,50.5,45.5,21.5,22,21.5,19,10.5,53.5,56
