Size,Chest,Neck-to-Cuff,Back Waist Length,Cross Back,Sleeve Length,Upper Arm,Armhole depth,Waist,Hips
12,76,66,38,30.5,38,23,16.5,63.5,80
14,80,68.5,39.5,31,40.5,23.5,17.5,67.5,83.5
16,82.5,71,40.5,33,42,24,19,69.5,90
